pub_date,keyword_name,keyword_value,score,headline_main
 2016-05-20T00:00:00Z,glocations,Bangladesh,7.558096e-14,The  Real  Source  of  Terror  in  Bangladesh 
 2016-06-12T00:00:00Z,glocations,GreatBritain,5.208856e-14,While  Young  Britons  Favor  Staying  in  E.U.,  They  Aren’t  Big  on  Voting 
 2016-06-09T00:00:00Z,glocations,India,5.180602e-14,U.S.  and  India  Mark  a  New  Moment  in  Relations  as  Narendra  Modi  Speaks  to  Congress 
 2016-06-09T00:00:00Z,glocations,Afghanistan,4.6140436e-14,Afghanistan  by  Choice 
 2016-06-10T00:00:00Z,glocations,Israel,4.132408e-14,Israelis  Find  Rare  Moment  of  Solidarity  in  Aftermath  of  Tel  Aviv  Shootings 
 2016-06-01T00:00:00Z,glocations,Brussels(Belgium),1.4170013e-14,In  Brussels,  Art  Museum  Brings  Hope  to  Muslim  Neighborhood  of  Molenbeek 
 2016-05-30T00:00:00Z,glocations,Israel,1.1326235e-14,Debate  Over  Role  of  ‘People’s  Army’  in  Israel  Reflects  Wider  Fissures 
 2016-05-07T18:40:06Z,glocations,Afghanistan,9.923377e-15,Haqqanis  Steering  Deadlier  Taliban  in  Afghanistan,  Officials  Say 
 2016-05-18T00:00:00Z,glocations,Afghanistan,5.278242e-15,Don’t  Blame  Pakistan  for  Afghanistan’s  Woes 
 2016-05-20T00:00:00Z,glocations,Turkey,4.166536e-15,Erdogan  Loyalist  Is  Nominated  to  Be  Turkey’s  Prime  Minister 
 2016-05-24T09:00:05Z,glocations,Turkey,3.5627027e-15,Behind  the  Barricades  of  Turkey’s  Hidden  War 
 2016-04-26T00:00:00Z,glocations,Sydney(Australia),3.1678494e-15,Australia  Charges  Teenager  With  Plotting  Anzac  Day  Terror  Attack 
 2016-05-18T00:00:00Z,glocations,Iraq,2.6413628e-15,Yes,  ISIS  Is  Losing  in  Iraq.  No,  It’s  Not  in  Its  Death  Throes. 
 2016-05-11T00:00:00Z,glocations,Poland,1.9722595e-15,Putin  and  the  Night  Wolves  vs.  Poland 
 2016-05-17T09:00:07Z,glocations,Afghanistan,1.2976711e-15,Doctors  With  Enemies:  Did  Afghan  Forces  Target  the  M.S.F.  Hospital? 
 2016-05-01T10:29:04Z,glocations,Paris(France),8.424988e-16,1891:  Dynamite  Bomb  in  Paris 
 2016-05-06T20:00:09Z,glocations,NorthKorea,5.752679e-16,As  North  Korea’s  Nuclear  Program  Advances,  U.S.  Strategy  Is  Tested 
 2016-05-05T00:00:00Z,glocations,NorthKorea,5.27008e-16,Kim  Jong-un  Seeks  to  Cement  Power  at  First  North  Korean  Congress  in  36  Years 
 2016-05-05T00:00:00Z,glocations,Syria,5.267258e-16,Partial  Truce  in  Syria  Is  Said  to  Extend  to  Aleppo 
 2016-05-03T00:00:00Z,glocations,Brazil,5.1319445e-16,In  Brazil,  a  New  Nostalgia  for  Military  Dictatorship 
 2016-04-07T09:50:42Z,glocations,Brussels(Belgium),3.3733008e-16,Belgium  Releases  Video  of  Terror  Suspect 
 2016-04-28T00:00:00Z,glocations,Abuja(Nigeria),2.181563e-16,Will  Nigeria’s  New  Capital  Be  Old  Soon? 
 2016-04-24T04:00:00Z,glocations,Nigeria,1.3375819e-16,Failure  to  Share  Data  Hampers  War  on  Boko  Haram  in  Africa 
 2016-03-26T10:13:43Z,glocations,Turkey,9.245987e-17,Forgotten  Victims  of  Terror 
 2016-04-19T06:36:50Z,glocations,Kabul(Afghanistan),8.966943e-17,Taliban  Send  Message  With  Deadly  Kabul  Attack  as  Fighting  Season  Begins 
 2016-04-01T00:00:00Z,glocations,Belgium,8.381116e-17,Investigators  Pursue  Leads  on  Frenchman  Accused  of  Terror  Plot 
 2016-04-18T07:23:35+0000,glocations,UnitedStates,8.168557e-17,The  Perils  of  Being  a  Black  Philosopher 
 2016-04-18T00:00:00Z,glocations,SaudiArabia,5.3159768e-17,An  Old  Alliance  Faces  New  Pressures  as  Obama  Heads  to  Saudi  Arabia 
 2016-04-16T00:00:00Z,glocations,SaudiArabia,4.6167918e-17,Saudi  Arabia  Warns  of  Economic  Fallout  if  Congress  Passes  9/11  Bill 
 2016-04-04T00:00:00Z,glocations,Ireland,2.408489e-17,Remembering  a  1916  Irish  Uprising 
 2016-03-22T17:22:23Z,glocations,Brussels(Belgium),1.8483718e-17,Tributes  to  Brussels  Around  the  World 
 2016-04-08T00:00:00Z,glocations,UnitedStates,1.6349678e-17,Republicans  Seize  on  Guantánamo  Fears  in  Re-election  Races 
 2016-04-03T00:00:00Z,glocations,Europe,1.4909679e-17,A  Trans-Atlantic  Role  Reversal 
 2016-04-03T00:00:00Z,glocations,SaoPaulo(Brazil),1.0605558e-17,The  Gentle  Assassin  in  Brazil 
 2016-03-30T00:00:00Z,glocations,India,8.563504e-18,India  Lets  Pakistani  Team  Examine  Site  of  January  Attack  by  Militants 
 2016-03-27T00:00:00Z,glocations,Ireland,3.3020703e-18,Martyrs  With  Guns  and  the  Easter  Rising 
 2016-03-25T04:00:00Z,glocations,BosniaandHerzegovina,2.5786098e-18,Radovan  Karadzic,  a  Bosnian  Serb,  Is  Convicted  of  Genocide 
 2016-03-25T00:00:00Z,glocations,Belgium,2.5165339e-18,In  Belgium,  a  Country  of  Divisions,  Patriotism  Remains  Subdued 
 2016-03-22T00:00:00Z,glocations,Belgium,2.055143e-18,The  Arrest  of  Salah  Abdeslam,  a  Paris  Suspect,  Ends  Manhunt,  Not  Questions 
 2016-03-12T00:00:00Z,glocations,SouthSudan,5.949391e-19,Mass  Rape,  a  Weapon  of  War,  Traumatizes  South  Sudan 
 2016-03-12T00:00:00Z,glocations,Ireland,5.2585686e-19,Irish  Spring 
 2016-03-13T00:00:00Z,glocations,SouthSudan,4.8837343e-19,South  Sudan:  Where  the  Soldiers  Are  Scarier  Than  the  Crocodiles 
 2016-03-14T07:23:05+0000,glocations,UnitedStates,4.344268e-19,The  Theater  of  Violence 
 2016-02-21T00:00:00Z,glocations,France,3.7676707e-19,After  Paris  Terror  Attacks,  France  Struggles  With  Faith  on  the  Job 
 2016-03-08T00:00:00Z,glocations,Somalia,2.4266563e-19,U.S.  Strikes  in  Somalia  Kill  150  Shabab  Fighters 
 2016-03-05T00:00:00Z,glocations,Turkey,1.6025147e-19,Turkey  Seizes  Newspaper,  Zaman,  as  Press  Crackdown  Continues 
 2016-02-16T00:00:00Z,glocations,Senegal,1.3780617e-19,Americans  and  Dutch  Train  Senegal  Commandos  as  Fears  of  Terrorism  Grow 
 2016-02-12T00:00:00Z,glocations,Israel,1.1008249e-19,Scanning  Borders,  Israel  Surveys  New  Reality  of  Tunnels  and  Terror 
 2016-02-03T15:14:41+0000,glocations,Taiwan,5.4143223e-20,Letters  From  the  White  Terror   
 2016-02-25T03:21:41Z,glocations,Germany,4.5922722e-20,The  Last  Train  Before  the  War 
 2016-02-05T00:00:00Z,glocations,Germany,3.7076077e-20,Germany  Arrests  Algerian  Suspected  of  Planning  Terrorist  Attack 
 2016-02-20T05:00:00Z,glocations,Syria,2.840457e-20,Syria's  White  Rose 
 2016-02-12T00:00:00Z,glocations,Israel,2.082292e-20,The  Only  Mideast  Solution:  Two  States 
 2016-02-11T00:00:00Z,glocations,NorthKorea,1.2730742e-20,Top  North  Korean  General  Is  Said  to  Be  Executed  on  Graft  Charges 
 2016-02-03T00:00:00Z,glocations,Israel,8.308196e-21,Israel  and  the  U.N.  Chief:  A  Clash  of  Perspectives 
 2016-02-11T15:50:30Z,glocations,Massachusetts,8.262503e-21,A  Gun  Dealer  Talks  Straight  About  Guns 
 2016-02-15T00:00:00Z,glocations,Syria,8.048264e-21,Syrian  Officer  Gave  a  View  of  War.  ISIS  Came,  and  Silence  Followed. 
 2016-02-01T07:26:56Z,glocations,Germany,5.014413e-21,1916:  Zeppelin  Raid  Buries  Victims 
 2016-02-04T00:00:00Z,glocations,Taiwan,3.0195328e-21,Taiwan  Families  Receive  Goodbye  Letters  Decades  After  Executions 
 2016-02-06T00:00:00Z,glocations,Iran,2.8899447e-21,In  Iran,  State-Backed  Companies  Win  From  Lifted  Sanctions 
 2016-01-19T00:00:00Z,glocations,BurkinaFaso,2.6163278e-21,Qaeda  Rampage  in  Burkina  Faso  Shakes  Service  Employees 
 2016-01-26T00:00:00Z,glocations,Israel,7.079278e-22,Palestinian  Assailants  Are  Killed  After  Knife  Attack  on  2  Israeli  Women 
 2016-01-22T03:20:36Z,glocations,Algeria,6.8091096e-22,Making  Peace  With  Violence:  Camus  in  Algeria 
 2016-01-24T00:00:00Z,glocations,Bangladesh,5.23768e-22,Terrorism  Charges  in  Bangladesh  for  14  Men  Deported  From  Singapore 
 2016-01-22T00:00:00Z,glocations,Israel,3.8783368e-22,Building  the  Future  in  Israel 
 2016-01-05T12:01:45Z,glocations,Paris(France),3.318909e-22,Louvre  and  Other  Paris  Museums  See  Attendance  Drop  Linked  to  Terror  Attacks 
 2016-01-19T00:00:00Z,glocations,France,1.9753661e-22,François  Hollande  Aims  2  Billion  Euro  Plan  at  France’s  Economic  ‘Emergency’ 
 2016-01-17T00:00:00Z,glocations,BurkinaFaso,1.8251494e-22,Deadly  Standoff  Leaves  Burkina  Faso  Stunned 
 2016-01-16T00:00:00Z,glocations,Iraq,1.7688875e-22,Gains  Against  ISIS  Bring  More  Deaths  Elsewhere  in  Iraq 
 2016-01-12T00:00:00Z,glocations,GreatBritain,1.4470734e-22,Top  Suspect  in  Paris  Attacks  Had  Traveled  to  Britain,  Officials  Say 
 2016-01-12T00:00:00Z,glocations,Baghdad(Iraq),1.0226324e-22,ISIS  Attack  on  Baghdad  Mall  Kills  17 
 2016-01-17T05:00:00Z,glocations,Haiti,7.5120984e-23,In  Exile 
 2016-01-08T00:00:00Z,glocations,NorthKorea,7.383605e-23,North  Korea’s  Nuclear  Arms  Test 
 2016-01-11T00:00:00Z,glocations,Iran,7.299911e-23,Mohammad  Javad  Zarif:  Saudi  Arabia’s  Reckless  Extremism 
 2016-01-03T00:00:00Z,glocations,India,3.3842003e-23,Gunmen  Killed  in  Pathankot,  India,  Air  Base  Attack 
 2016-01-01T00:00:00Z,glocations,DominicanRepublic,3.1276984e-23,Haitian  Migrants’  Plight 
 2016-01-03T00:00:00Z,glocations,China,1.7167273e-23,Xinjiang  Seethes  Under  Chinese  Crackdown   
